Angle Raw,Bus Voltage (V),Shunt Voltage (mV),Current (mA),Angle Raw.1,Bus Voltage (V).1,Shunt Voltage (mV).1,Current (mA).1,Angle Raw.2,Bus Voltage (V).2,Shunt Voltage (mV).2,Current (mA).2,Angle Raw.3,Bus Voltage (V).3,Shunt Voltage (mV).3,Current (mA).3,Angle Raw.4,Bus Voltage (V).4,Shunt Voltage (mV).4,Current (mA).4,Angle Raw.5,Bus Voltage (V).5,Shunt Voltage (mV).5,Current (mA).5,Angle Raw.6,Bus Voltage (V).6,Shunt Voltage (mV).6,Current (mA).6,Angle Raw,Bus Voltage (V),Shunt Voltage (mV),Current (mA)
346.03,9.4,0.03,0.3,47.46,7.13,15.41,111.8,344.88,0.0,5.66,90.6,310.17,11.7,14.98,112.8,225.79,11.17,13.05,127.0,104.5,1.93,9.21,179.1,325.81,8.59,11.7,178.6,217.79,6.18,13.77,186.5
346.03,3.63,0.03,0.2,31.82,4.95,8.18,154.0,310.78,0.24,14.4,164.7,249.7,2.2,16.28,36.7,144.93,0.0,8.4,118.3,6.59,8.0,16.84,166.1,206.19,0.0,11.3,112.8,77.34,4.93,14.63,159.9
346.03,0.0,-0.01,0.1,16.87,0.0,6.24,90.0,274.22,9.09,9.72,106.4,194.15,0.11,8.93,145.1,68.29,0.26,18.19,156.8,273.6,3.39,15.07,144.6,87.89,0.2,15.85,180.6,300.06,0.0,12.43,139.8
346.03,2.11,0.02,0.1,2.55,0.0,9.54,140.2,238.36,2.16,8.43,187.9,139.13,12.54,15.71,161.2,351.74,10.6,16.78,162.8,174.38,0.0,11.03,175.5,331.26,7.73,10.93,190.8,159.43,3.81,14.85,140.0
345.94,5.23,0.01,0.3,348.57,4.7,8.27,92.1,203.38,0.0,6.36,91.5,78.49,2.8,8.14,158.6,269.21,0.0,15.21,134.5,73.83,8.51,11.29,100.2,211.73,0.0,9.28,119.6,16.61,4.64,18.65,171.1
346.03,9.72,0.03,0.3,334.07,7.28,10.56,93.8,169.63,3.88,6.73,64.6,24.08,0.0,5.78,177.2,190.2,1.28,14.75,133.6,336.45,3.13,14.89,99.7,97.38,0.0,12.36,126.3,240.29,0.0,11.47,132.0
346.03,2.87,0.02,0.2,319.13,0.0,5.87,55.1,136.49,6.39,7.21,116.5,330.73,3.34,15.49,101.5,112.32,6.36,10.13,108.0,240.21,0.0,13.1,120.5,340.49,11.46,15.45,124.5,100.63,4.7,18.21,145.1
346.03,0.0,-0.01,0.0,304.63,0.43,14.43,128.9,101.34,0.0,11.64,52.9,272.46,4.36,10.26,165.9,32.78,0.0,6.64,58.9,140.45,5.38,13.06,174.0,216.3,0.0,7.51,114.7,317.46,4.18,13.95,166.1
346.03,0.34,0.02,0.3,288.63,10.52,14.51,77.4,65.21,0.0,8.2,85.0,214.1,0.0,11.67,122.9,321.5,0.0,10.17,101.6,40.17,4.17,11.59,100.5,102.66,0.32,17.0,132.1,177.01,0.0,13.27,150.7
346.03,10.06,0.04,0.3,272.55,1.93,14.25,47.5,32.26,5.79,8.72,188.0,156.88,4.65,13.8,102.6,242.31,10.1,12.15,83.0,303.49,0.0,12.81,97.8,341.02,8.75,16.57,175.4,34.89,5.67,13.9,175.8
